MMSI_CODE,DATETIME,MMAF_CODE,MMAF_NM,MMSI_NM,WIND_DIRECT,WIND_SPEED,AIR_TEMPERATURE,HUMIDITY,AIR_PRESSURE
994401587,20220113151000,101,부산청,나무섬등대,324,17.2,0.4,18,1005.4
994401578,20220113151000,101,부산청,오륙도등대,305,10.9,0.2,23,1009.3
994401597,20000101000000,101,부산청,부산항유도등부표(랜비),99999,99999,99999,99999,99999
220681651,20000101000000,101,부산청,남항동방파제등대,99999,99999,99999,99999,99999
220681654,20000101000000,101,부산청,송정리등표,99999,99999,99999,99999,99999
994401579,20220113151000,101,부산청,감천항유도등부표(랜비),,,,,
994401013,20220113151000,102,인천청,팔미도등대,310,12.9,-4.6,43,1010
994401014,20220113151000,102,인천청,부도등대,0,0,0,0,
994401018,20220113151000,102,인천청,인천항석탄부두A호등대,294,5.1,-4.8,46,1019
994401019,20220113151000,102,인천청,소야도등대,17,1.5,-2.8,52,1018
994401020,20220113151000,102,인천청,소연평도등대,98,1.5,,0,1013
994401021,20220113151000,102,인천청,서포리남방등표,292,10.8,-1.8,1,1020
994401023,20220113151000,102,인천청,초치암등표,39,7.7,-3.2,0,1020
994401024,20220113151000,102,인천청,민어탄등표,291,10.8,-2.5,43,1022
994401039,20220113151000,102,인천청,고식이등표,321,11.8,-3.4,46,1021
994402955,20220113151000,103,여수청,여초등표,147,29,0.4,49,
994402925,20220113113000,103,여수청,중결도등대,99999,99999,99999,99999,99999
994402917,20220113151000,103,여수청,광양항등표,339,7,0.4,38,
994403110,20220113151000,103,여수청,여수해만중앙A호유도등부표,307,23,3.6,46,
1000520,20220113151000,104,울산청,울산항등부표,156,10.8,1.6,21,1014
4402692,20220113151000,105,대산청,신도타서등표,98,26,,55,1021
994402651,20220113151000,105,대산청,옹도등대,17,1,,76,1016
994402675,20220113151000,105,대산청,소녀암등표,,,,60,1021
1120081,20220113151000,106,평택청,입파도등대,242,10,,57,1007
1120127,20220113151000,106,평택청,무당서등표,272,14,,52,
440101004,20220109024400,107,목포청,(기상)외달도등표,99999,99999,99999,99999,99999
440101002,20220109024400,107,목포청,(기상)매물도등대,99999,99999,99999,99999,99999
440101003,20220109024100,107,목포청,(기상)대노록도등대,99999,99999,99999,99999,99999
440101006,20220109024400,107,목포청,(기상)홍도등대,99999,99999,99999,99999,99999
440101005,20220109024400,107,목포청,(기상)가거도등대,99999,99999,99999,99999,99999
440101007,20220109024400,107,목포청,(기상)계마항방파제등대,99999,99999,99999,99999,99999
440101001,20220109024400,107,목포청,(기상)우세도등대,99999,99999,99999,99999,99999
4406120,20220113151000,108,군산청,비응항서방파제남단등대,326,2.6,-2.1,90,1020
994403652,20220113151000,108,군산청,군산연도등대,346,2.1,-3.3,76,998
994403654,20220113151000,108,군산청,상왕등도등대,350,8.22,-1.9,59,999
994403661,20220113151000,108,군산청,군산흑도등표,344,4.6,-1.1,65,1019
994403658,20220113151000,108,군산청,흑서등표,,,,0,
994401602,20220113151000,109,마산청,흑암등표,280,9.3,,29,1016
994401606,20220111033100,109,마산청,고암등대,99999,99999,99999,99999,99999
994401605,20220113151000,109,마산청,견내량등표,,,,21,1017
994401623,20220113151000,109,마산청,고도등표,,,,,
994403582,20220113151000,110,포항청,도동등대,243,4.1,-3.5,63,997
994403579,20220113151000,110,포항청,영일만항분리항로등부표(랜비),,,1.5,26,
994403808,20000101000000,111,동해청,동해항남방파제등대,99999,99999,99999,99999,99999
994403810,20220113151000,111,동해청,주문진항동방파제등대,224,5,-1.2,25,1012
994403807,20220113151000,111,동해청,임원항방파제등대,50,4,-0.7,18,1012
994403901,20220113151000,112,제주단,중뢰등표,336,17,2.3,62,
994403894,20220113141000,112,제주단,김녕항서방파제등대,99999,99999,99999,99999,99999
994403897,20220113151000,112,제주단,우도등표,337,19,4.1,60,1016
994403895,20220113151000,112,제주단,방서등대,340,15,2.3,33,1015
994403896,20220113142000,112,제주단,개민포등대,99999,99999,99999,99999,99999
440103006,20220109002700,113,진도소,완도항 유도등부표(기),99999,99999,99999,99999,99999
440103002,20220109002700,113,진도소,황제도등대(기),99999,99999,99999,,99999
440103004,20220109002700,113,진도소,횡간도등대(기),99999,99999,99999,99999,99999
440103003,20220109002700,113,진도소,여서도등대(기),99999,99999,99999,99999,99999
MR,20220108233500,113,진도소,명량수도조류신호표지,99999,99999,99999,99999,99999
440103005,20220109002700,113,진도소,하조도등대(기),99999,99999,99999,99999,99999
440103007,20220109002700,113,진도소,어룡도등대(기),99999,99999,99999,99999,99999
JJ,20220108234500,113,진도소,장죽수도조류신호표지,99999,99999,99999,99999,99999
440103001,20220109002700,113,진도소,녹도등대(기),99999,99999,99999,99999,99999
