MMSI_CODE,DATETIME,MMAF_CODE,MMAF_NM,MMSI_NM,WIND_DIRECT,WIND_SPEED,AIR_TEMPERATURE,HUMIDITY,AIR_PRESSURE
994401584,20220113000000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113001000,101,부산청,부산항신항중앙C호등부표,326,4.1,0.6,47,1019.2
994401584,20220113002000,101,부산청,부산항신항중앙C호등부표,315,4.6,1.1,50,1018.7
994401584,20220113003000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113004000,101,부산청,부산항신항중앙C호등부표,332,4.8,1,51,1018.5
994401584,20220113005000,101,부산청,부산항신항중앙C호등부표,337,4.5,0.9,50,1018.6
994401584,20220113010000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113011000,101,부산청,부산항신항중앙C호등부표,327,4.6,0.8,48,1018.7
994401584,20220113012000,101,부산청,부산항신항중앙C호등부표,331,4.6,0.6,47,1018.6
994401584,20220113013000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113014000,101,부산청,부산항신항중앙C호등부표,325,4.8,0.7,48,1018.6
994401584,20220113015000,101,부산청,부산항신항중앙C호등부표,330,4.4,0.8,49,1018.8
994401584,20220113020000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113021000,101,부산청,부산항신항중앙C호등부표,1,4,0.8,48,1018.3
994401584,20220113022000,101,부산청,부산항신항중앙C호등부표,12,2.9,0.5,45,1018.1
994401584,20220113023000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113024000,101,부산청,부산항신항중앙C호등부표,15,3.2,0.5,44,1018
994401584,20220113025000,101,부산청,부산항신항중앙C호등부표,32,3.1,0.6,44,1017.9
994401584,20220113030000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113031000,101,부산청,부산항신항중앙C호등부표,23,2.9,0.8,47,1017.9
994401584,20220113032000,101,부산청,부산항신항중앙C호등부표,9,3.9,0.7,44,1017.9
994401584,20220113033000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113034000,101,부산청,부산항신항중앙C호등부표,345,4.4,0.5,44,1017.9
994401584,20220113035000,101,부산청,부산항신항중앙C호등부표,339,4.2,0.3,46,1017.5
994401584,20220113040000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113041000,101,부산청,부산항신항중앙C호등부표,358,4.7,0.4,45,1017.8
994401584,20220113042000,101,부산청,부산항신항중앙C호등부표,344,4.4,0.3,44,1017.6
994401584,20220113043000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113044000,101,부산청,부산항신항중앙C호등부표,335,4.4,-0.1,47,1017.8
994401584,20220113045000,101,부산청,부산항신항중앙C호등부표,326,4.5,-0.3,42,1017.7
994401584,20220113050000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113051000,101,부산청,부산항신항중앙C호등부표,329,4,-1,43,1017.7
994401584,20220113052000,101,부산청,부산항신항중앙C호등부표,349,3.6,-0.7,46,1017.8
994401584,20220113053000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113054000,101,부산청,부산항신항중앙C호등부표,331,3.1,-0.8,48,1017.8
994401584,20220113055000,101,부산청,부산항신항중앙C호등부표,343,2.8,-0.9,45,1017.8
994401584,20220113060000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113061000,101,부산청,부산항신항중앙C호등부표,337,3.5,-1.1,41,1017.8
994401584,20220113062000,101,부산청,부산항신항중앙C호등부표,338,3.5,-1.1,46,1017.8
994401584,20220113063000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113064000,101,부산청,부산항신항중앙C호등부표,337,3.1,-0.8,43,1017.7
994401584,20220113065000,101,부산청,부산항신항중앙C호등부표,329,3.2,-0.7,51,1017.5
994401584,20220113070000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113071000,101,부산청,부산항신항중앙C호등부표,331,3.4,-0.6,48,1017.3
994401584,20220113072000,101,부산청,부산항신항중앙C호등부표,323,3.1,-0.8,51,1017.5
994401584,20220113073000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113074000,101,부산청,부산항신항중앙C호등부표,325,2.5,-0.5,48,1017.6
994401584,20220113075000,101,부산청,부산항신항중앙C호등부표,321,2.7,-0.5,49,1017.4
994401584,20220113080000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113081000,101,부산청,부산항신항중앙C호등부표,338,3.1,-0.4,50,1017.3
994401584,20220113082000,101,부산청,부산항신항중앙C호등부표,334,3,0.1,50,1017.4
994401584,20220113083000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113084000,101,부산청,부산항신항중앙C호등부표,319,2.8,0.2,50,1017.6
994401584,20220113085000,101,부산청,부산항신항중앙C호등부표,300,2.7,-0.6,44,1017.6
994401584,20220113090000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113091000,101,부산청,부산항신항중앙C호등부표,312,2.4,-0.3,47,1017.7
994401584,20220113092000,101,부산청,부산항신항중앙C호등부표,304,2.9,0.5,51,1017.7
994401584,20220113093000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113094000,101,부산청,부산항신항중앙C호등부표,324,3.5,0.6,53,1017.6
994401584,20220113095000,101,부산청,부산항신항중앙C호등부표,285,3.5,0.3,49,1017.8
994401584,20220113100000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113101000,101,부산청,부산항신항중앙C호등부표,298,4.4,0.9,52,1017.9
994401584,20220113102000,101,부산청,부산항신항중앙C호등부표,299,5.19,1.4,53,1018
994401584,20220113103000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113104000,101,부산청,부산항신항중앙C호등부표,290,6.07,0.8,58,1018.2
994401584,20220113105000,101,부산청,부산항신항중앙C호등부표,289,6.32,0.3,64,1018.3
994401584,20220113110000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113111000,101,부산청,부산항신항중앙C호등부표,334,5.86,0.3,68,1018.5
994401584,20220113112000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113113000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113114000,101,부산청,부산항신항중앙C호등부표,62,6.89,0.7,59,1017.9
994401584,20220113115000,101,부산청,부산항신항중앙C호등부표,53,7.14,0.8,59,1017.7
994401584,20220113120000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113121000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113122000,101,부산청,부산항신항중앙C호등부표,50,6.27,0.9,51,1017.7
994401584,20220113123000,101,부산청,부산항신항중앙C호등부표,,,,,
994401584,20220113124000,101,부산청,부산항신항중앙C호등부표,,,,,
