수집일시,기관코드,기관명,지점코드,지점명,풍향,풍속,기온,습도,기압
0,20210101000000,101,부산청,994401584,부산항신항중앙C호등부표,134,3.1,1.1,59,1023.9
1,20210101001000,101,부산청,994401584,부산항신항중앙C호등부표,157,2.9,1.5,58,1023.9
2,20210101002000,101,부산청,994401584,부산항신항중앙C호등부표,122,4.5,1.9,61,1023.8
3,20210101003000,101,부산청,994401584,부산항신항중앙C호등부표,79,3.7,1.7,60,1023.7
4,20210101004000,101,부산청,994401584,부산항신항중앙C호등부표,62,2.8,1.2,56,1023.6
5,20210101005000,101,부산청,994401584,부산항신항중앙C호등부표,78,3.5,1.2,58,1023.5
6,20210101010000,101,부산청,994401584,부산항신항중앙C호등부표,93,3.5,1.8,62,1023.5
7,20210101011000,101,부산청,994401584,부산항신항중앙C호등부표,80,4.1,1.3,60,1023.4
8,20210101012000,101,부산청,994401584,부산항신항중앙C호등부표,104,3.3,1,58,1023.8
9,20210101013000,101,부산청,994401584,부산항신항중앙C호등부표,94,4.1,0.8,61,1023.8
10,20210101014000,101,부산청,994401584,부산항신항중앙C호등부표,98,4.3,0.6,63,1023.8
11,20210101015000,101,부산청,994401584,부산항신항중앙C호등부표,95,3.9,0.4,64,1023.9
12,20210101020000,101,부산청,994401584,부산항신항중앙C호등부표,100,3.4,-0.5,65,1024
13,20210101021000,101,부산청,994401584,부산항신항중앙C호등부표,101,2.9,-0.8,66,1024.2
14,20210101022000,101,부산청,994401584,부산항신항중앙C호등부표,100,2.8,-0.1,68,1024.2
15,20210101023000,101,부산청,994401584,부산항신항중앙C호등부표,120,3.6,-0.6,67,1024.3
16,20210101024000,101,부산청,994401584,부산항신항중앙C호등부표,121,3.5,-0.5,67,1024.3
17,20210101025000,101,부산청,994401584,부산항신항중앙C호등부표,110,3,-0.9,67,1024.5
18,20210101030000,101,부산청,994401584,부산항신항중앙C호등부표,115,2.7,-0.8,67,1024.6
19,20210101031000,101,부산청,994401584,부산항신항중앙C호등부표,132,2,-1,66,1024.7
20,20210101032000,101,부산청,994401584,부산항신항중앙C호등부표,132,2.5,-1.1,65,1024.8
21,20210101033000,101,부산청,994401584,부산항신항중앙C호등부표,141,2.9,-0.8,65,1024.9
22,20210101034000,101,부산청,994401584,부산항신항중앙C호등부표,151,2.5,-0.9,65,1025.1
23,20210101035000,101,부산청,994401584,부산항신항중앙C호등부표,142,2.9,-1,64,1025.2
24,20210101040000,101,부산청,994401584,부산항신항중앙C호등부표,152,2.3,-1.2,63,1025.4
25,20210101041000,101,부산청,994401584,부산항신항중앙C호등부표,121,2.5,-0.7,65,1025.3
26,20210101042000,101,부산청,994401584,부산항신항중앙C호등부표,158,2.7,-1,63,1025.3
27,20210101043000,101,부산청,994401584,부산항신항중앙C호등부표,123,3.1,-1.3,60,1025.2
28,20210101044000,101,부산청,994401584,부산항신항중앙C호등부표,124,2.8,-1.3,59,1025.2
29,20210101045000,101,부산청,994401584,부산항신항중앙C호등부표,119,2.1,-1.4,57,1025.3
30,20210101050000,101,부산청,994401584,부산항신항중앙C호등부표,114,2.6,-1.3,58,1025.4
31,20210101051000,101,부산청,994401584,부산항신항중앙C호등부표,22,1.6,-2.2,54,1025.6
32,20210101052000,101,부산청,994401584,부산항신항중앙C호등부표,49,1.9,-1.3,58,1025.6
33,20210101053000,101,부산청,994401584,부산항신항중앙C호등부표,66,1.8,-1.5,55,1025.7
34,20210101054000,101,부산청,994401584,부산항신항중앙C호등부표,42,2.2,-1.4,57,1025.5
35,20210101055000,101,부산청,994401584,부산항신항중앙C호등부표,55,2.3,-1.2,57,1025.6
36,20210101060000,101,부산청,994401584,부산항신항중앙C호등부표,52,2.3,-1.3,56,1025.7
37,20210101061000,101,부산청,994401584,부산항신항중앙C호등부표,62,1.7,-2,55,1025.8
38,20210101062000,101,부산청,994401584,부산항신항중앙C호등부표,53,1.4,-1.4,55,1025.8
39,20210101063000,101,부산청,994401584,부산항신항중앙C호등부표,30,1.3,-2.1,53,1025.9
40,20210101064000,101,부산청,994401584,부산항신항중앙C호등부표,49,1.2,-1.4,57,1026
41,20210101065000,101,부산청,994401584,부산항신항중앙C호등부표,23,1.1,-1.4,58,1026.2
42,20210101070000,101,부산청,994401584,부산항신항중앙C호등부표,340,1.2,-2.3,55,1026.3
43,20210101071000,101,부산청,994401584,부산항신항중앙C호등부표,332,0.4,-1.9,55,1026.2
44,20210101072000,101,부산청,994401584,부산항신항중앙C호등부표,28,1.2,-2.2,55,1026.1
45,20210101073000,101,부산청,994401584,부산항신항중앙C호등부표,61,0.2,-2.3,53,1026.2
46,20210101074000,101,부산청,994401584,부산항신항중앙C호등부표,29,0.57,-1.5,56,1026.1
47,20210101075000,101,부산청,994401584,부산항신항중앙C호등부표,49,0.05,-1.5,56,1026.3
48,20210101080000,101,부산청,994401584,부산항신항중앙C호등부표,35,0.72,-1.2,57,1026.5
49,20210101081000,101,부산청,994401584,부산항신항중앙C호등부표,40,0.3,-1.2,55,1026.5
50,20210101082000,101,부산청,994401584,부산항신항중앙C호등부표,18,0.62,-0.7,57,1026.7
51,20210101083000,101,부산청,994401584,부산항신항중앙C호등부표,59,1.2,-0.6,57,1026.7
52,20210101084000,101,부산청,994401584,부산항신항중앙C호등부표,,,-0.7,55,1026.7
53,20210101085000,101,부산청,994401584,부산항신항중앙C호등부표,81,0.4,-0.2,55,1026.7
54,20210101090000,101,부산청,994401584,부산항신항중앙C호등부표,45,1,0.1,55,1026.7
55,20210101091000,101,부산청,994401584,부산항신항중앙C호등부표,37,0.72,0.1,54,1026.7
56,20210101092000,101,부산청,994401584,부산항신항중앙C호등부표,,,0.5,54,1026.8
57,20210101093000,101,부산청,994401584,부산항신항중앙C호등부표,60,0.77,1,56,1026.7
58,20210101094000,101,부산청,994401584,부산항신항중앙C호등부표,18,0.3,0.9,54,1026.7
59,20210101095000,101,부산청,994401584,부산항신항중앙C호등부표,273,0.57,1.2,52,1026.7
60,20210101100000,101,부산청,994401584,부산항신항중앙C호등부표,239,0.62,1.1,49,1026.7
61,20210101101000,101,부산청,994401584,부산항신항중앙C호등부표,251,1,1.3,50,1026.6
62,20210101102000,101,부산청,994401584,부산항신항중앙C호등부표,224,0.2,1.5,49,1026.7
63,20210101103000,101,부산청,994401584,부산항신항중앙C호등부표,0,0,2.4,48,1026.7
